location,count,link
"hiroshima, japan",15,"https://www.lib.uidaho.edu/digital/hiroshima/browse.html#hiroshima,%20japan"
"university of idaho arboretum",8,"https://www.lib.uidaho.edu/digital/hiroshima/browse.html#university%20of%20idaho%20arboretum"
"kooskia, idaho",4,"https://www.lib.uidaho.edu/digital/hiroshima/browse.html#kooskia,%20idaho"
"japan",2,"https://www.lib.uidaho.edu/digital/hiroshima/browse.html#japan"
"arco, idaho",2,"https://www.lib.uidaho.edu/digital/hiroshima/browse.html#arco,%20idaho"
"nagasaki, japan",1,"https://www.lib.uidaho.edu/digital/hiroshima/browse.html#nagasaki,%20japan"
"jornada del muerto, new mexico",1,"https://www.lib.uidaho.edu/digital/hiroshima/browse.html#jornada%20del%20muerto,%20new%20mexico"
